Model,MAE,MSE,RMSE,R2,Adjusted R2,MAPE
Gradient Boosting,2446.2028018853957,18759131.28619481,4331.181280689462,0.8791672491881917,0.8763894848017133,0.29998723561957696
Polynomial Regression,2729.5001336394453,20712805.987918384,4551.132385233194,0.866583090316484,0.8635160349214606,0.3019857802271426
Random Forest,2557.9881032460853,21014128.15681731,4584.116944059925,0.8646421909223082,0.8615305171504073,0.3213247771115452
XGBoost,2625.183532486102,22567361.10839201,4750.511668061874,0.8546373880704601,0.8512957188307005,0.3344475207671964
Multiple Linear Regression,4181.194473753652,33596915.85136148,5796.284659276275,0.7835929767120722,0.7786181026134991,0.4688825597914698
Lasso Regression,4181.296901008465,33597789.30009653,5796.360004355883,0.7835873505872939,0.778612347152519,0.468922038334717
Ridge Regression,4193.19535293527,33645393.49385556,5800.464937731764,0.7832807188145148,0.7782986663734691,0.47142888133301164
Elastic Net,4788.166684329365,40544751.01042333,6367.476031397631,0.7388400496362718,0.732836372616416,0.6075345799886155
Decision Tree,3384.4735150597016,47076628.89628262,6861.241060936616,0.6967664183537811,0.6897955314193852,0.43807551279341794
Simple Linear Regression,9784.65259627133,149085057.03839505,12210.039190698571,0.03970193117941878,0.036091788063551955,1.703503746111996
Baseline,9593.33846086229,155391443.68461317,12465.610441715768,-0.0009192486886582252,-0.03183567335857829,1.6793967547681132
